旅行・観光消費動向調査　2022年（確報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第15表　宿泊の有無(2区分)，旅行目的(3区分)，旅行形態(2区分)，品目(小分類)別旅行単価・購入率・購入者単価【国内旅行】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時間軸コード,2022000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価,旅行単価,購入率,購入者単価
,,,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行
,,,全目的,全目的,全目的,全目的,全目的,全目的,全目的,全目的,全目的,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,全目的,全目的,全目的,全目的,全目的,全目的,全目的,全目的,全目的,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,観光・レクリエーション,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,帰省・知人訪問等,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務,出張・業務
,,,全体,全体,全体,個人旅行,個人旅行,個人旅行,パック・団体旅行,パック・団体旅行,パック・団体旅行,全体,全体,全体,個人旅行,個人旅行,個人旅行,パック・団体旅行,パック・団体旅行,パック・団体旅行,全体,全体,全体,個人旅行,個人旅行,個人旅行,パック・団体旅行,パック・団体旅行,パック・団体旅行,全体,全体,全体,個人旅行,個人旅行,個人旅行,パック・団体旅行,パック・団体旅行,パック・団体旅行,全体,全体,全体,個人旅行,個人旅行,個人旅行,パック・団体旅行,パック・団体旅行,パック・団体旅行,全体,全体,全体,個人旅行,個人旅行,個人旅行,パック・団体旅行,パック・団体旅行,パック・団体旅行,全体,全体,全体,個人旅行,個人旅行,個人旅行,パック・団体旅行,パック・団体旅行,パック・団体旅行,全体,全体,全体,個人旅行,個人旅行,個人旅行,パック・団体旅行,パック・団体旅行,パック・団体旅行
,,品目（小分類）,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回,円／人回,％,円／人回
全体,全体,全体,"59,042",***,***,"56,528",***,***,"88,934",***,***,"63,973",***,***,"60,847",***,***,"91,198",***,***,"43,250",***,***,"42,632",***,***,"73,689",***,***,"65,523",***,***,"64,459",***,***,"80,665",***,***,"18,532",***,***,"18,427",***,***,"20,589",***,***,"18,410",***,***,"18,302",***,***,"20,078",***,***,"19,302",***,***,"19,131",***,***,"58,174",***,***,"18,358",***,***,"18,308",***,***,"20,535",***,***
旅行前後,旅行前,旅行前全体,"6,927",74.7,"9,268","6,719",74.6,"9,011","9,392",76.7,"12,237","6,795",76.2,"8,921","6,454",75.8,"8,519","9,763",79.7,"12,252","7,470",78.7,"9,490","7,411",78.8,"9,405","10,366",74.5,"13,911","6,522",60.3,"10,823","6,557",60.6,"10,826","6,018",55.8,"10,778","2,829",58.0,"4,876","2,853",57.9,"4,924","2,369",59.7,"3,968","2,426",57.9,"4,186","2,432",57.9,"4,200","2,324",58.4,"3,976","5,654",71.8,"7,878","5,654",71.6,"7,893","5,543",100.0,"5,543","1,867",39.7,"4,699","1,855",38.9,"4,762","2,398",73.1,"3,279"
旅行前後,旅行前,菓子類,"1,021",45.6,"2,237","1,033",46.1,"2,242",879,40.4,"2,175",794,46.6,"1,703",801,47.4,"1,689",735,40.0,"1,838","1,803",54.4,"3,316","1,793",54.5,"3,292","2,315",50.2,"4,612",619,24.2,"2,554",583,23.3,"2,504","1,127",37.7,"2,988",538,33.9,"1,586",542,34.1,"1,589",460,30.5,"1,505",421,34.0,"1,238",420,34.2,"1,228",434,30.9,"1,406","1,365",45.6,"2,997","1,359",45.6,"2,979","2,715",28.2,"9,637",247,17.5,"1,415",245,17.3,"1,414",350,24.4,"1,432"
旅行前後,旅行前,その他の食料品・飲料・酒・たばこ,"1,470",39.3,"3,740","1,503",39.9,"3,764","1,081",31.9,"3,385","1,198",40.2,"2,982","1,214",41.3,"2,941","1,054",30.5,"3,457","1,489",38.9,"3,828","1,481",38.9,"3,810","1,895",40.5,"4,681","2,749",36.0,"7,630","2,885",35.9,"8,036",811,37.8,"2,143",557,31.6,"1,764",567,31.8,"1,782",361,26.8,"1,350",500,32.4,"1,545",509,32.7,"1,554",363,26.7,"1,361","1,042",32.6,"3,198","1,046",32.7,"3,200",172,9.6,"1,800",301,24.4,"1,235",299,24.2,"1,238",381,33.3,"1,146"
旅行前後,旅行前,衣類・帽子・ハンカチなど繊維製品,"1,343",13.9,"9,690","1,224",12.6,"9,719","2,752",28.8,"9,541","1,593",16.7,"9,552","1,422",14.9,"9,553","3,080",32.3,"9,548","1,063",10.7,"9,910","1,066",10.7,"9,944",924,11.1,"8,306",673,6.3,"10,742",626,5.8,"10,860","1,335",13.3,"10,018",503,5.9,"8,472",511,5.9,"8,592",345,5.7,"6,043",408,6.3,"6,493",411,6.3,"6,504",363,5.8,"6,313",929,6.1,"15,136",933,6.2,"15,136",0,0.0,0,599,3.1,"19,337",611,3.0,"20,214",82,6.3,"1,300"
旅行前後,旅行前,靴・かばんなど皮革製品,543,4.6,"11,812",502,4.2,"12,089","1,021",9.8,"10,418",651,5.3,"12,353",605,4.6,"13,035","1,051",10.7,"9,785",265,3.2,"8,337",254,3.1,"8,171",821,6.8,"12,057",551,4.0,"13,657",526,4.0,"13,119",907,4.4,"20,654",170,2.0,"8,610",168,1.9,"9,027",204,4.1,"4,940",132,1.6,"8,149",127,1.4,"8,774",208,4.3,"4,876",390,3.7,"10,555",392,3.7,"10,555",0,0.0,0,143,2.2,"6,558",142,2.2,"6,545",179,2.6,"7,000"
旅行前後,旅行前,化粧品・医薬品・写真フィルムなど,169,7.0,"2,400",158,6.7,"2,370",294,11.3,"2,610",170,7.5,"2,260",155,7.0,"2,193",304,11.6,"2,617",168,5.6,"2,997",168,5.6,"2,998",125,4.3,"2,929",166,7.5,"2,224",155,7.1,"2,189",320,12.8,"2,505",41,1.9,"2,166",41,1.9,"2,201",30,2.0,"1,515",43,2.0,"2,173",44,2.0,"2,219",32,2.1,"1,515",56,2.6,"2,155",57,2.6,"2,155",0,0.0,0,2,0.1,"1,639",2,0.1,"1,639",0,0.0,0
旅行前後,旅行前,本・雑誌・ガイドブック,89,6.2,"1,431",84,5.8,"1,451",139,10.7,"1,303",104,7.8,"1,326",100,7.4,"1,341",142,11.4,"1,240",55,3.0,"1,793",55,3.0,"1,829",51,5.8,883,80,4.3,"1,864",74,4.1,"1,818",168,7.6,"2,218",38,2.1,"1,829",37,2.0,"1,861",49,3.4,"1,456",33,2.4,"1,375",33,2.4,"1,403",34,3.3,"1,052",37,1.2,"3,178",37,1.2,"3,178",0,0.0,0,72,0.8,"9,480",65,0.6,"10,412",346,6.3,"5,500"
旅行前後,旅行前,電気製品,129,1.8,"7,115",118,1.7,"6,826",260,2.8,"9,225",162,2.2,"7,509",145,2.0,"7,148",314,3.3,"9,410",76,1.0,"7,652",78,1.0,"7,652",0,0.0,0,73,1.7,"4,184",78,1.8,"4,264",1,0.5,110,59,0.8,"7,635",61,0.8,"7,572",35,0.3,"10,561",62,0.9,"6,998",64,0.9,"6,909",37,0.4,"10,561",50,0.6,"7,871",50,0.6,"7,871",0,0.0,0,54,0.2,"27,145",55,0.2,"27,145",0,0.0,0
旅行前後,旅行前,その他買物代,814,11.7,"6,991",816,11.6,"7,014",794,11.8,"6,713",836,12.1,"6,910",844,12.1,"6,983",765,12.2,"6,281",956,12.3,"7,767",937,12.3,"7,639","1,909",14.7,"13,029",439,8.2,"5,338",444,8.3,"5,367",368,7.6,"4,877",437,8.5,"5,149",443,8.5,"5,227",322,8.8,"3,669",435,8.2,"5,292",442,8.2,"5,399",332,8.8,"3,771",657,13.7,"4,802",659,13.6,"4,838",143,26.6,538,153,3.4,"4,548",153,3.4,"4,537",177,3.5,"5,000"
旅行前後,旅行前,旅行関連用品のレンタル料,137,1.2,"11,494",135,1.2,"11,260",168,1.2,"14,327",185,1.6,"11,784",183,1.6,"11,523",204,1.4,"14,327",89,0.7,"11,873",90,0.8,"11,873",0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,51,0.4,"13,459",54,0.4,"13,459",0,0.0,0,38,0.4,"9,571",41,0.4,"9,571",0,0.0,0,86,0.4,"22,590",87,0.4,"22,590",0,0.0,0,96,0.2,"40,000",98,0.2,"40,000",0,0.0,0
旅行前後,旅行前,旅行保険・クレジットカード入会金,130,1.0,"12,488",81,0.7,"12,247",713,5.6,"12,831",138,1.3,"10,439",65,0.7,"9,027",771,6.5,"11,804",119,0.4,"30,413",120,0.4,"31,509",61,0.9,"6,958",116,1.0,"12,124",78,1.0,"8,132",657,0.9,"70,000",5,0.3,"1,665",4,0.2,"2,727",26,3.5,739,7,0.4,"1,689",5,0.2,"2,900",27,3.7,738,1,0.1,"1,250",1,0.1,"1,250",0,0.0,0,0,0.0,"1,000",0,0.0,0,4,0.4,"1,000"
旅行前後,旅行前,美容室・理容室,592,7.0,"8,411",568,6.7,"8,489",877,11.2,"7,856",555,6.8,"8,203",516,6.3,"8,164",897,10.7,"8,406",876,9.6,"9,150",860,9.2,"9,385","1,691",30.1,"5,617",227,3.5,"6,484",226,3.5,"6,484",250,3.9,"6,486",236,3.2,"7,389",232,3.1,"7,462",302,4.7,"6,439",207,2.7,"7,581",200,2.6,"7,722",321,5.0,"6,448",511,7.3,"7,018",513,7.3,"7,018",0,0.0,0,62,0.8,"7,292",63,0.9,"7,324",14,0.4,"4,000"
旅行前後,旅行前,旅行の打ち合わせ等での飲食費,264,3.7,"7,181",264,3.5,"7,482",259,5.4,"4,829",250,3.5,"7,089",244,3.2,"7,597",306,6.3,"4,843",136,2.0,"6,784",138,2.0,"6,805",61,1.2,"5,000",572,7.5,"7,591",611,8.0,"7,613",22,0.6,"3,600",82,1.9,"4,287",80,1.9,"4,275",126,2.8,"4,448",71,1.7,"4,218",69,1.7,"4,163",99,2.0,"4,919",126,2.5,"4,947",126,2.5,"4,947",0,0.0,0,104,2.8,"3,760",90,2.4,"3,809",672,19.2,"3,500"
旅行前後,旅行前,その他の旅行前支出,224,3.3,"6,742",230,3.3,"7,045",154,4.0,"3,822",158,2.3,"6,961",160,2.1,"7,685",140,3.9,"3,588",375,5.3,"7,005",372,5.3,"7,025",512,8.1,"6,349",257,4.6,"5,629",271,4.7,"5,775",52,2.7,"1,966",112,1.7,"6,433",112,1.5,"7,454",110,6.4,"1,730",67,1.5,"4,386",67,1.3,"5,054",73,4.8,"1,526",402,3.4,"11,921",393,3.1,"12,816","2,512",73.4,"3,422",36,1.0,"3,636",32,0.6,"5,744",192,19.2,"1,000"
旅行前後,旅行後,旅行後全体,562,8.4,"6,692",565,8.2,"6,878",528,10.6,"4,978",477,7.8,"6,137",478,7.4,"6,446",472,10.9,"4,316",681,8.2,"8,355",654,8.0,"8,216","2,037",17.9,"11,410",745,11.9,"6,257",792,12.5,"6,354",81,4.0,"1,999",248,5.3,"4,685",245,5.0,"4,860",314,10.4,"3,032",205,4.8,"4,264",201,4.5,"4,488",276,10.1,"2,733",427,8.1,"5,264",428,8.1,"5,293",376,17.0,"2,212",308,4.8,"6,373",291,4.6,"6,295","1,035",13.8,"7,500"
旅行前後,旅行後,写真のプリント・現像,46,2.5,"1,852",39,2.2,"1,802",129,6.3,"2,057",63,3.4,"1,842",53,3.0,"1,784",150,7.3,"2,046",22,1.1,"1,969",21,1.1,"1,943",84,3.6,"2,355",13,0.8,"1,721",14,0.8,"1,721",0,0.0,0,21,1.5,"1,406",19,1.3,"1,391",70,4.7,"1,489",25,1.7,"1,479",23,1.5,"1,477",64,4.3,"1,487",8,0.9,937,8,0.9,937,0,0.0,0,8,0.8,"1,018",4,0.5,706,207,13.8,"1,500"
旅行前後,旅行後,衣類のクリーニング,65,2.8,"2,308",65,2.8,"2,289",70,2.7,"2,536",35,1.7,"2,077",34,1.6,"2,117",38,2.1,"1,810",123,4.3,"2,862",116,4.2,"2,769",475,10.0,"4,764",101,5.5,"1,820",103,5.7,"1,807",71,3.3,"2,136",37,1.6,"2,275",38,1.6,"2,314",29,1.8,"1,604",12,0.8,"1,438",11,0.8,"1,411",31,1.9,"1,604",169,5.9,"2,865",170,5.9,"2,865",0,0.0,0,39,1.6,"2,498",40,1.6,"2,498",0,0.0,0
旅行前後,旅行後,その他の旅行後支出,451,3.7,"12,319",461,3.7,"12,388",329,2.9,"11,286",380,3.3,"11,422",391,3.4,"11,666",284,3.1,"9,129",536,3.2,"16,717",517,3.2,"16,232","1,477",4.3,"34,431",631,6.1,"10,265",675,6.5,"10,333",10,0.7,"1,350",189,2.6,"7,238",188,2.5,"7,512",214,4.8,"4,455",168,2.6,"6,476",167,2.5,"6,711",180,4.2,"4,314",250,2.4,"10,414",250,2.3,"10,676",376,17.0,"2,212",261,3.1,"8,465",248,2.8,"8,746",828,13.8,"6,000"
旅行中,旅行中全体,旅行中全体,"51,553",97.0,"53,141","49,243",96.8,"50,892","79,014",100.0,"79,014","56,702",97.8,"57,991","53,916",97.5,"55,286","80,964",100.0,"80,964","35,099",95.0,"36,963","34,568",94.9,"36,442","61,285",100.0,"61,285","58,256",97.3,"59,902","57,111",97.1,"58,840","74,567",100.0,"74,567","15,455",96.4,"16,029","15,329",96.2,"15,929","17,906",100.0,"17,906","15,779",97.8,"16,138","15,669",97.6,"16,049","17,478",100.0,"17,478","13,221",92.1,"14,349","13,050",92.1,"14,168","52,255",100.0,"52,255","16,184",92.5,"17,490","16,162",92.4,"17,500","17,102",100.0,"17,102"
旅行中,参加費,参加費,"3,895",7.8,"50,204",***,***,***,"50,204",100.0,"50,204","5,410",10.3,"52,526",***,***,***,"52,526",100.0,"52,526",684,2.0,"34,345",***,***,***,"34,345",100.0,"34,345","2,747",6.6,"41,856",***,***,***,"41,856",100.0,"41,856",515,4.9,"10,552",***,***,***,"10,552",100.0,"10,552",626,6.1,"10,278",***,***,***,"10,278",100.0,"10,278",200,0.4,"45,573",***,***,***,"45,573",100.0,"45,573",151,2.3,"6,623",***,***,***,"6,623",100.0,"6,623"
旅行中,交通費,交通費全体,"15,037",85.7,"17,540","15,935",88.4,"18,025","4,354",53.9,"8,080","13,135",85.0,"15,448","14,133",88.8,"15,913","4,441",52.0,"8,537","15,781",86.3,"18,279","16,035",86.7,"18,503","3,283",70.2,"4,677","22,771",88.0,"25,888","24,067",90.0,"26,733","4,318",58.5,"7,380","6,235",83.8,"7,442","6,499",86.2,"7,543","1,080",37.1,"2,908","5,263",84.2,"6,248","5,535",87.3,"6,342","1,062",37.2,"2,856","7,104",83.6,"8,501","7,119",83.6,"8,514","3,738",73.4,"5,090","12,035",80.7,"14,910","12,299",82.0,"15,002",725,26.7,"2,720"
旅行中,交通費,航空（長距離移動）,"2,411",7.5,"32,356","2,613",8.1,"32,356",0,0.0,0,"1,591",5.6,"28,547","1,774",6.2,"28,547",0,0.0,0,"2,900",8.7,"33,152","2,959",8.9,"33,152",0,0.0,0,"5,422",14.0,"38,706","5,802",15.0,"38,706",0,0.0,0,264,0.7,"35,619",277,0.8,"35,619",0,0.0,0,66,0.4,"16,532",71,0.4,"16,532",0,0.0,0,171,0.5,"36,062",172,0.5,"36,062",0,0.0,0,"1,811",3.5,"51,049","1,853",3.6,"51,049",0,0.0,0
旅行中,交通費,新幹線・鉄道（長距離移動）,"3,369",17.3,"19,424","3,653",18.8,"19,424",0,0.0,0,"2,401",13.0,"18,518","2,677",14.5,"18,518",0,0.0,0,"4,193",21.9,"19,120","4,279",22.4,"19,120",0,0.0,0,"6,455",29.7,"21,760","6,909",31.7,"21,760",0,0.0,0,"1,167",9.3,"12,603","1,227",9.7,"12,603",0,0.0,0,591,6.1,"9,635",629,6.5,"9,635",0,0.0,0,"1,644",11.4,"14,418","1,651",11.5,"14,418",0,0.0,0,"4,663",28.9,"16,157","4,772",29.5,"16,157",0,0.0,0
旅行中,交通費,長距離バス,172,2.6,"6,728",186,2.8,"6,728",0,0.0,0,165,2.3,"7,165",184,2.6,"7,165",0,0.0,0,204,3.2,"6,430",208,3.2,"6,430",0,0.0,0,143,2.6,"5,547",153,2.8,"5,547",0,0.0,0,70,1.3,"5,319",73,1.4,"5,319",0,0.0,0,64,1.1,"5,975",68,1.1,"5,975",0,0.0,0,61,0.9,"6,437",61,0.9,"6,437",0,0.0,0,124,3.6,"3,490",127,3.6,"3,490",0,0.0,0
